src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.27,192.168.1.1,41282,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:48:43,5092.859268188477,66760.14044286316,785.4134169748608,392.7067084874304,392.7067084874304,2,2,148,192,74.0,74.0,74.0,0.0,102.0,90.0,96.0,6.0,102,74,85.0,11.789826122551595,139.0,16,16,8,2,1697.6197560628254,4989.147186279297,0.95367431640625,2327.832420776884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,96.0,0,2,2,148,192
192.168.1.27,192.168.1.1,42173,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:48:45,13357.63931274414,28148.686395602042,299.4541105915111,149.72705529575555,149.72705529575555,2,2,144,232,72.0,72.0,72.0,0.0,128.0,104.0,116.0,12.0,128,72,94.0,23.57965224510319,556.0,16,16,8,2,4452.54643758138,11638.402938842773,148.773193359375,5114.209019809698,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,116.0,0,2,2,144,232
192.168.1.27,216.58.215.68,47338,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:48:43,3237328.290939331,2193.784306607752,5.869037148063544,2.4711735360267557,3.397863612036789,8,11,3689,3413,1399.0,74.0,461.125,476.7804624510111,1399.0,66.0,310.27272727272725,394.6515358018309,1399,66,373.7894736842105,437.52913634677475,191431.7451523546,64,88,8,8,179851.57171885172,3077640.5334472656,0.2384185791015625,702893.2556328907,3204627.513885498,3090469.5987701416,478.98292541503906,457803.93055507116,1074852.4948310815,3210269.9279785156,3084460.496902466,0.2384185791015625,321026.99279785156,921225.8401469508,0,0,0,0,1,0,0,0,0,0,0,1.375,373.7894736842105,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.125,310.27272727272725,0,8,11,3689,3413
192.168.1.27,192.168.1.1,54354,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:48:47,11097.66960144043,32799.678948159926,360.4360323973618,180.2180161986809,180.2180161986809,2,2,160,204,80.0,80.0,80.0,0.0,108.0,96.0,102.0,6.0,108,80,91.0,11.789826122551595,139.0,16,16,8,2,3699.223200480143,10622.739791870117,0.476837158203125,4899.488057449591,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,91.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,102.0,0,2,2,160,204
192.168.1.27,104.18.5.159,47798,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,6,2024-01-09 11:48:45,3012961.1492156982,109615.41939761539,105.54400944823944,40.82362629601714,64.7203831522223,123,195,14092,316175,583.0,66.0,114.5691056910569,68.66711042174234,15024.0,66.0,1621.4102564102564,2408.4672018648935,15024,66,1038.5754716981132,2024.2056736122188,4097408.609083896,2460,3900,20,59,9504.294921923134,815857.1720123291,-38.623809814453125,58108.91707633475,3012961.1492156982,815857.1720123291,-23.603439331054688,24696.402862423754,93335.49562488311,3006069.6601867676,828600.4066467285,0.0,15495.20443395241,76850.76498497844,0,0,0,0,1,0,0,0,0,0,0,1.5853658536585367,1038.5754716981132,64240,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.3333333333333,13.0,26891.2,15.2,66786.9325188263,1150654.0109689215,114.5691056910569,1621.4102564102564,0,123,195,14092,316175
192.168.1.27,142.250.203.138,39088,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,6,2024-01-09 11:48:48,964435.338973999,10706.7831120593,34.21691290896349,16.59001838010351,17.626894528859975,16,17,2232,8094,583.0,66.0,139.5,136.73605961852198,4749.0,66.0,476.11764705882354,1094.0481160702286,4749,66,312.90909090909093,808.686003552428,653973.0523415976,320,340,20,8,30138.60434293747,690981.6265106201,0.0,120765.33209327105,964435.338973999,690981.6265106201,66.28036499023438,64295.689264933266,170561.87690256245,957034.5878601074,697304.4872283936,0.0,59814.661741256714,167609.07732599138,0,0,0,0,1,0,0,0,0,0,0,1.0625,312.90909090909093,64240,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636.0,5.0,0.0,420149.48224344844,139.5,476.11764705882354,0,16,17,2232,8094
192.168.1.27,192.168.1.1,44259,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:48:48,2810.0013732910156,70106.72730358053,711.7434244018327,355.87171220091636,355.87171220091636,1,1,73,124,73.0,73.0,73.0,0.0,124.0,124.0,124.0,0.0,124,73,98.5,25.5,650.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,98.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,124.0,0,1,1,73,124
192.168.1.27,142.250.203.138,35274,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:48:48,68215.13175964355,216711.4483057512,249.21156877479336,117.27603236460864,131.9355364101847,8,9,6019,8764,1399.0,75.0,752.375,646.9522659168913,1399.0,69.0,973.7777777777778,525.4534079731687,1399,69,869.5882352941177,596.1099443424381,355347.06574394467,64,72,8,8,4263.445734977722,24161.815643310547,0.0,6207.304418779866,44053.31611633301,13586.759567260742,375.0324249267578,6293.330873761858,4456.540813824805,61622.61962890625,25298.118591308594,0.0,7702.827453613281,9420.407247706607,0,0,0,0,1,0,0,0,0,0,0,1.125,869.5882352941177,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4906.0,4.0,0.0,6859085141.333333,752.375,973.7777777777778,0,8,9,6019,8764
192.168.1.27,192.168.1.1,35028,53,08:00:27:b1:9d:67,04:92:26:65:48:a0,17,2024-01-09 11:48:49,5433.797836303711,64779.73796674126,736.1333859856961,368.06669299284806,368.06669299284806,2,2,154,198,77.0,77.0,77.0,0.0,105.0,93.0,99.0,6.0,105,77,88.0,11.789826122551595,139.0,16,16,8,2,1811.2659454345703,2773.5233306884766,166.17774963378906,1168.8330880655938,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,88.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,99.0,0,2,2,154,198
192.168.1.27,142.250.203.131,60686,443,08:00:27:b1:9d:67,04:92:26:65:48:a0,6,2024-01-09 11:48:49,75918.43605041504,1201131.1710826724,763.977803250373,316.1287461725681,447.84905707780484,24,34,2875,88313,583.0,66.0,119.79166666666667,123.90015441430607,7066.0,66.0,2597.4411764705883,2266.3650371980925,7066,66,1572.2068965517242,2122.8323935221356,4506417.37098692,480,680,20,7,1331.9023868493866,16544.818878173828,0.0,2866.62117592204,75918.43605041504,22809.505462646484,57.697296142578125,3300.8015674093494,5179.151119177471,66890.47813415527,16544.818878173828,0.0,2026.9841858834932,3890.849394434766,0,0,0,0,1,0,0,0,0,0,0,1.4166666666666667,1572.2068965517242,64240,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26312.666666666668,8.666666666666666,0.0,4220125.79379262,119.79166666666667,2597.4411764705883,0,24,34,2875,88313
